Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-02 00:00:00+01:00,40.48104672151635,41.859899978657225,40.38999078005923,41.61274719238281,1967041,0.0,0.0
2023-01-03 00:00:00+01:00,41.80786549345943,42.79214297836807,41.80786549345943,42.39756393432617,3344995,0.0,0.0
2023-01-04 00:00:00+01:00,42.79647879129559,44.19267654418945,42.74444871382288,44.19267654418945,4240717,0.0,0.0
2023-01-05 00:00:00+01:00,44.175327680402454,45.24198716783608,44.07126422770875,44.7650260925293,3592362,0.0,0.0
2023-01-06 00:00:00+01:00,44.90378310509982,45.79700469970703,44.67831171628077,45.79700469970703,2592280,0.0,0.0
2023-01-09 00:00:00+01:00,45.92708057786136,46.117866340042816,45.346056023025355,45.82301712036133,2790442,0.0,0.0
2023-01-10 00:00:00+01:00,45.632233192836324,45.72762607776235,44.44416568993447,44.834407806396484,3082636,0.0,0.0
2023-01-11 00:00:00+01:00,44.95581380135726,45.502152740969144,44.58291616252413,45.24198913574219,2839224,0.0,0.0
2023-01-12 00:00:00+01:00,45.6148867884275,46.256618609068454,45.55418282935415,46.039817810058594,3007680,0.0,0.0
2023-01-13 00:00:00+01:00,46.13521074509209,46.16989966692264,45.67559080113151,45.753639221191406,2501604,0.0,0.0
2023-01-16 00:00:00+01:00,45.77098334346511,46.1525548645427,44.938469074397425,45.961769104003906,2923417,0.0,0.0
2023-01-17 00:00:00+01:00,46.03981791988837,46.291307641287986,45.71895366286129,45.82301712036133,2438711,0.0,0.0
2023-01-18 00:00:00+01:00,44.88643785667409,46.23927609023761,44.7910482799222,46.07450866699219,4019550,0.0,0.0
2023-01-19 00:00:00+01:00,45.65825032457572,45.9444256636221,45.12058195259186,45.25066375732422,3023788,0.0,0.0
2023-01-20 00:00:00+01:00,45.19862766167682,45.64957370074097,45.042530828611625,45.49347686767578,3496093,0.0,0.0
2023-01-23 00:00:00+01:00,45.606215462807235,45.78832733703549,45.31136624867298,45.588871002197266,1208110,0.0,0.0
2023-01-24 00:00:00+01:00,45.76231089735967,45.996456146240234,45.588869604694345,45.996456146240234,1823231,0.0,0.0
2023-01-25 00:00:00+01:00,46.005126372415766,46.10051924806224,45.47613192246166,45.849029541015625,1259946,0.0,0.0
2023-01-26 00:00:00+01:00,46.08317873893028,46.135212123230424,45.11191205548521,45.632232666015625,2412368,0.0,0.0
2023-01-27 00:00:00+01:00,45.632232666015625,45.632232666015625,45.632232666015625,45.632232666015625,0,0.0,0.0
2023-01-30 00:00:00+01:00,45.62356169093851,45.77965853435803,45.25066404367162,45.7709846496582,1739897,0.0,0.0
2023-01-31 00:00:00+01:00,45.736297426858435,45.736297426858435,45.2419885680009,45.44144821166992,2101716,0.0,0.0
2023-02-01 00:00:00+01:00,45.519496810342574,45.77965710521421,45.285351552522805,45.736297607421875,1938360,0.0,0.0
2023-02-02 00:00:00+01:00,45.93575403016816,46.76826829857046,45.8143461128742,46.69021987915039,3629090,0.0,0.0
2023-02-03 00:00:00+01:00,46.482091186407175,46.86366271972656,46.10052296120554,46.86366271972656,2471023,0.0,0.0
2023-02-06 00:00:00+01:00,46.58615813262766,46.62951763209312,45.80567390977842,45.91841125488281,1736226,0.0,0.0
2023-02-07 00:00:00+01:00,46.06583421468891,46.11786759891812,45.63223260379883,45.91841125488281,1605203,0.0,0.0
2023-02-08 00:00:00+01:00,46.34333869412576,46.499435537729305,45.76231412702635,45.840362548828125,1719398,0.0,0.0
2023-02-09 00:00:00+01:00,45.840361811816685,46.343337949027585,45.74496893024625,45.831687927246094,1727351,0.0,0.0
2023-02-10 00:00:00+01:00,45.62356314931232,45.770986112744446,44.43549563252471,44.47885513305664,3290765,0.0,0.0
2023-02-13 00:00:00+01:00,44.66963537667161,44.877765600244516,44.36611557991702,44.808387756347656,1455638,0.0,0.0
2023-02-14 00:00:00+01:00,44.877765067101244,44.938469025731,44.26205159636074,44.279396057128906,2205821,0.0,0.0
2023-02-15 00:00:00+01:00,44.35744668988416,44.92980069132251,44.314083881741205,44.834407806396484,1813500,0.0,0.0
2023-02-16 00:00:00+01:00,45.08589503818826,45.510822746240244,44.8257314362261,45.44144821166992,2214033,0.0,0.0
2023-02-17 00:00:00+01:00,45.094566006272785,45.415430261198324,44.53955649241748,45.302696228027344,2164661,0.0,0.0
2023-02-20 00:00:00+01:00,45.48480924944001,46.29997907991987,45.44144975035068,46.05716323852539,2271284,0.0,0.0
2023-02-21 00:00:00+01:00,46.05716196947672,46.20458492394196,45.12058093598824,45.51949691772461,2003891,0.0,0.0
2023-02-22 00:00:00+01:00,45.23331986365368,45.45012066884913,44.574246871431335,45.406761169433594,2447350,0.0,0.0
2023-02-23 00:00:00+01:00,45.68426461813388,45.77098361446443,45.07722171946709,45.24198913574219,2039899,0.0,0.0
2023-02-24 00:00:00+01:00,44.053922985071516,44.184004791527364,41.686458587646484,41.686458587646484,15255950,0.0,0.0
2023-02-27 00:00:00+01:00,41.71680999791276,42.48428669090094,41.465320273198124,41.53036117553711,4646830,0.0,0.0
2023-02-28 00:00:00+01:00,41.34391204928654,42.1937707914145,41.21816718785343,42.03767395019531,4673550,0.0,0.0
2023-03-01 00:00:00+01:00,42.414911869805046,42.77480202136701,41.877246767835985,41.950958251953125,3534679,0.0,0.0
2023-03-02 00:00:00+01:00,41.07941591881416,42.00298947236203,40.945000477285426,41.907596588134766,2886750,0.0,0.0
2023-03-03 00:00:00+01:00,42.09404534750106,42.74011082403807,42.08970840510184,42.63604736328125,2411864,0.0,0.0
2023-03-06 00:00:00+01:00,42.753119109274834,42.77046357106475,41.755837367238165,41.846893310546875,3025485,0.0,0.0
2023-03-07 00:00:00+01:00,41.81654168148936,41.859901182270285,41.495674097851264,41.638763427734375,2279063,0.0,0.0
2023-03-08 00:00:00+01:00,41.339574315888946,42.06802512493234,41.13144740365805,41.87290573120117,2605483,0.0,0.0
2023-03-09 00:00:00+01:00,41.955293233899255,42.029004714571656,41.46965823371123,41.61708450317383,1659878,0.0,0.0
2023-03-10 00:00:00+01:00,41.00136615077849,41.530360630959706,40.84526931045886,41.23117446899414,2745125,0.0,0.0
2023-03-13 00:00:00+01:00,41.2268414809243,41.2268414809243,39.53579455637263,39.631187438964844,5650106,0.0,0.0
2023-03-14 00:00:00+01:00,39.795952244903994,40.363969252706546,39.51411055796744,40.24256134033203,3057144,0.0,0.0
